instancia,run,tempo_s,custo
020clientes,0,0.7737,547.2087
020clientes,0,5.9956,136.5187
020clientes,0,7.2403,136.5187
020clientes,0,7.9389,136.5187
020clientes,0,8.5235,136.5187
020clientes,0,9.7744,136.5187
020clientes,0,11.0033,136.5187
020clientes,0,11.2761,136.5187
020clientes,0,11.7481,136.5187
020clientes,0,13.0816,136.5187
020clientes,0,14.8668,136.5187
020clientes,0,15.6599,136.5187
020clientes,0,25.1278,136.5187
020clientes,0,27.1812,136.5187
020clientes,0,27.6011,136.5187
020clientes,0,29.2236,136.5187
020clientes,0,29.5379,136.5187
020clientes,0,30.8757,136.5187
020clientes,0,31.8335,136.5187
020clientes,0,34.5795,136.5187
020clientes,0,36.6059,136.5187
020clientes,0,37.2819,136.5187
020clientes,0,38.1136,136.5187
020clientes,0,38.5926,136.5187
020clientes,0,40.0886,136.5187
020clientes,0,42.1011,136.5187
020clientes,0,45.4555,136.5187
020clientes,0,45.9916,136.5187
020clientes,0,47.1243,136.5187
020clientes,1,0.918,562.6929
020clientes,1,6.4765,152.2976
020clientes,1,7.8053,148.7022
020clientes,1,8.3515,148.7022
020clientes,1,9.6197,148.7022
020clientes,1,10.7717,148.7022
020clientes,1,12.1496,148.7022
020clientes,1,14.2531,148.7022
020clientes,1,14.65,148.7022
020clientes,1,15.0235,148.7022
020clientes,1,15.398,148.7022
020clientes,1,17.0711,148.7022
020clientes,1,18.7629,148.3111
020clientes,1,22.0478,143.3733
020clientes,1,23.1266,139.1552
020clientes,1,23.8468,139.1552
020clientes,1,24.7496,139.1552
020clientes,1,25.8009,139.1552
020clientes,1,26.9232,139.1552
020clientes,1,30.0545,139.1552
020clientes,1,30.5505,139.1552
020clientes,1,30.98,139.1552
020clientes,1,31.9849,139.1552
020clientes,1,32.2923,139.1552
020clientes,1,32.9866,139.1552
020clientes,1,42.051,139.1552
020clientes,1,42.6096,139.1552
020clientes,1,43.8006,139.1552
020clientes,1,46.0118,139.1552
020clientes,1,47.2008,139.1552
020clientes,1,48.4189,139.1552
020clientes,1,49.5794,139.1552
020clientes,1,50.3216,139.1552
020clientes,1,52.3842,139.1552
020clientes,1,55.3715,139.1552
020clientes,1,56.4508,139.1552
020clientes,1,58.7943,139.1552
020clientes,1,59.9391,139.1552
020clientes,1,62.2956,139.1552
020clientes,1,63.3468,139.1552
020clientes,1,64.4177,139.1552
020clientes,1,65.233,139.1552
020clientes,1,65.637,139.1552
020clientes,1,66.6153,139.1552
020clientes,1,68.2567,139.1552
020clientes,1,68.8616,139.1552
020clientes,2,2.1751,519.5662
020clientes,2,8.2249,155.2327
020clientes,2,8.8098,155.2327
020clientes,2,9.6022,155.2327
020clientes,2,10.3707,155.2327
020clientes,2,12.8711,155.2327
020clientes,2,15.156,155.2327
020clientes,2,15.7148,155.2327
020clientes,2,16.9136,155.2327
020clientes,2,17.6541,155.2327
020clientes,2,18.0097,155.2327
020clientes,2,18.5221,155.2327
020clientes,2,26.3618,136.5187
020clientes,2,26.8288,136.5187
020clientes,2,27.7395,136.5187
020clientes,2,28.4309,136.5187
020clientes,2,31.0968,136.5187
020clientes,2,31.6834,136.5187
020clientes,2,32.1597,136.5187
020clientes,2,32.4307,136.5187
020clientes,2,33.239,136.5187
020clientes,2,33.9831,136.5187
020clientes,2,34.4551,136.5187
