instancia,rota,posicao,no
020clientes,0,0,205
020clientes,0,1,204
020clientes,0,2,171
020clientes,0,3,168
020clientes,0,4,159
020clientes,0,5,128
020clientes,0,6,51
020clientes,0,7,48
020clientes,0,8,1
020clientes,0,9,133
020clientes,0,10,125
020clientes,0,11,123
020clientes,0,12,122
020clientes,0,13,117
020clientes,0,14,114
020clientes,0,15,113
020clientes,0,16,112
020clientes,0,17,111
020clientes,0,18,110
020clientes,0,19,109
020clientes,0,20,108
020clientes,0,21,107
020clientes,0,22,106
020clientes,0,23,105
020clientes,0,24,104
020clientes,0,25,103
020clientes,0,26,102
020clientes,0,27,101
020clientes,0,28,100
020clientes,0,29,99
020clientes,0,30,98
020clientes,0,31,97
020clientes,0,32,96
020clientes,0,33,95
020clientes,0,34,94
020clientes,0,35,93
020clientes,0,36,92
020clientes,0,37,91
020clientes,0,38,90
020clientes,0,39,89
020clientes,0,40,88
020clientes,0,41,87
020clientes,0,42,86
020clientes,0,43,85
020clientes,0,44,84
020clientes,0,45,83
020clientes,0,46,82
020clientes,0,47,81
020clientes,0,48,80
020clientes,0,49,79
020clientes,0,50,78
020clientes,0,51,77
020clientes,0,52,76
020clientes,0,53,75
020clientes,0,54,74
020clientes,0,55,73
020clientes,0,56,72
020clientes,0,57,71
020clientes,0,58,70
020clientes,0,59,69
020clientes,0,60,68
020clientes,0,61,67
020clientes,0,62,66
020clientes,0,63,65
020clientes,0,64,64
020clientes,0,65,63
020clientes,0,66,62
020clientes,0,67,61
020clientes,0,68,60
020clientes,0,69,59
020clientes,0,70,58
020clientes,0,71,57
020clientes,0,72,56
020clientes,0,73,55
020clientes,0,74,54
020clientes,0,75,53
020clientes,0,76,47
020clientes,0,77,44
020clientes,0,78,43
020clientes,0,79,40
020clientes,0,80,38
020clientes,0,81,37
020clientes,0,82,36
020clientes,0,83,32
020clientes,0,84,26
020clientes,0,85,22
020clientes,0,86,21
020clientes,0,87,16
020clientes,0,88,158
020clientes,0,89,142
020clientes,0,90,138
020clientes,0,91,132
020clientes,0,92,131
020clientes,0,93,129
020clientes,0,94,115
020clientes,0,95,24
020clientes,0,96,23
020clientes,0,97,202
020clientes,0,98,201
020clientes,0,99,177
020clientes,1,0,189
020clientes,1,1,196
020clientes,1,2,188
020clientes,1,3,180
020clientes,1,4,182
020clientes,1,5,11
020clientes,1,6,7
020clientes,1,7,6
020clientes,1,8,148
020clientes,1,9,144
020clientes,1,10,124
020clientes,1,11,120
020clientes,1,12,119
020clientes,1,13,49
020clientes,1,14,42
020clientes,1,15,25
020clientes,1,16,20
020clientes,1,17,18
020clientes,1,18,17
020clientes,1,19,195
020clientes,1,20,191
020clientes,1,21,185
020clientes,1,22,167
020clientes,1,23,183
020clientes,1,24,181
020clientes,1,25,166
020clientes,1,26,199
020clientes,1,27,190
020clientes,1,28,193
020clientes,1,29,179
020clientes,1,30,197
020clientes,1,31,175
020clientes,1,32,170
020clientes,1,33,169
020clientes,1,34,194
020clientes,1,35,10
020clientes,1,36,8
020clientes,1,37,5
020clientes,1,38,9
020clientes,1,39,164
020clientes,1,40,163
020clientes,1,41,162
020clientes,1,42,157
020clientes,1,43,154
020clientes,1,44,150
020clientes,1,45,147
020clientes,1,46,146
020clientes,1,47,121
020clientes,1,48,118
020clientes,1,49,52
020clientes,1,50,50
020clientes,1,51,45
020clientes,1,52,39
020clientes,1,53,34
020clientes,1,54,31
020clientes,1,55,30
020clientes,1,56,29
020clientes,1,57,28
020clientes,1,58,130
020clientes,1,59,12
020clientes,1,60,4
020clientes,1,61,165
020clientes,1,62,161
020clientes,1,63,156
020clientes,1,64,155
020clientes,1,65,152
020clientes,1,66,151
020clientes,1,67,149
020clientes,1,68,143
020clientes,1,69,141
020clientes,1,70,140
020clientes,1,71,137
020clientes,1,72,136
020clientes,1,73,134
020clientes,1,74,13
020clientes,1,75,14
020clientes,1,76,3
020clientes,1,77,145
020clientes,1,78,35
020clientes,1,79,33
020clientes,1,80,27
020clientes,1,81,19
020clientes,1,82,2
020clientes,1,83,160
020clientes,1,84,127
020clientes,1,85,139
020clientes,1,86,126
020clientes,1,87,116
020clientes,1,88,46
020clientes,1,89,41
020clientes,1,90,15
020clientes,1,91,203
020clientes,1,92,186
020clientes,1,93,174
020clientes,1,94,172
020clientes,1,95,153
020clientes,1,96,135
020clientes,1,97,200
020clientes,1,98,192
020clientes,1,99,173
020clientes,2,0,187
020clientes,2,1,184
020clientes,2,2,198
020clientes,2,3,178
020clientes,2,4,176
