instancia,run,tempo_s,custo
cenario1_dia,4,5.1684,93.6695
cenario1_dia,4,5.6046,90.1977
cenario1_dia,4,5.7545,90.1977
cenario1_dia,4,5.9182,90.1977
cenario1_dia,4,6.1796,90.1977
cenario1_dia,4,6.3996,90.1977
cenario1_dia,4,6.5567,90.1977
cenario1_dia,4,6.6967,90.1977
cenario1_dia,4,7.1668,90.1977
cenario1_dia,4,7.7021,90.1977
cenario1_dia,4,8.7645,90.1977
cenario1_dia,4,10.1132,90.1977
cenario1_dia,4,11.0199,90.1977
cenario1_dia,4,11.3349,90.1977
cenario1_dia,4,13.4614,87.2179
cenario1_dia,4,13.659,87.2179
cenario1_dia,4,13.9879,87.2179
cenario1_dia,4,14.3327,87.2179
cenario1_dia,4,14.6387,87.2179
cenario1_dia,4,15.0449,87.2179
cenario1_dia,4,15.9971,87.2179
cenario1_dia,4,16.8423,87.2179
cenario1_dia,4,17.9573,87.2179
cenario1_dia,4,18.8043,87.2179
cenario1_dia,4,19.3601,87.2179
cenario1_dia,4,20.1007,87.2179
cenario1_dia,4,20.6808,87.2179
