Concessionária ,Bairro,cep
Con254,Funcionarios,30110-028
Con255,Cachoeirinha,31150-130
Con256,Santa Amelia,31555-290
Con257,Prado,30411-235
Con258,Concordia,31110-780
Con259,Santa Cruz,31150-690
Con260,Gloria,30870-120
Con261,Dona Clara,31260-060
Con262,Mangabeiras,30210-340
Con263,Candelaria,31535-522
Con264,Piratininga Venda Nova,31573-080
Con265,Teixeira Dias Barreiro,30644-170
Con266,Alto Caicaras,30750-410
Con267,Petropolis Barreiro,30666-475
Con268,Savassi,30140-131
Con269,Bonfim,31210-430
Con270,Fernao Dias,31910-430
Con271,Barro Preto,30140-083
Con272,Santo Antonio,30330-110
Con273,Jaragua,31270-470
Con274,SANTA MONICA,31535-000
Con275,Ouro Preto,31310-140
Con276,Betania,30580-400
Con277,Dom Cabral,30535-100
Con278,Itaipu Barreiro,30692-450
Con279,Goiania,31950-000
Con280,Lourdes,30140-061
Con281,JARDINOPOLIS,30532-050
Con282,Miramar Barreiro,30644-100
Con283,Santa Ines,31080-210
Con284,Sao Joao Batista Venda Nova,31515-220
Con285,Lourdes,30180-101
Con286,Cidade Nova,31170-240
Con287,Goiania,31950-430
Con288,Barreiro,30640-550
Con289,CASTELO,31330-290
Con290,Funcionarios,30140-060
Con291,Padre Eustaquio,30720-310
Con292,Belvedere,30320-690
Con293,Heliopolis,31741-545
Con294,Cachoeirinha,31130-090
Con295,Piratininga Venda Nova,31535-280
Con296,Santa Tereza,31010-190
Con297,Santo Agostinho,30110-062
Con298,Santa Monica,31525-000
Con299,Sao Geraldo,31050-225
Con300,Sagrada Familia,31030-220
Con301,Engenho Nogueira,31310-295
Con302,Aparecida,31235-160
Con303,Confisco,31360-460
Con304,Ouro Preto,31310-390
Con305,Santa Branca,31565-510
Con306,Lourdes,30170-013
Con307,Renascenca,31130-750
Con308,GUTIERREZ,30441-001
Con309,Sao Geraldo,31050-670
Con310,Cidade Jardim,30380-020
Con311,Sao Francisco,31255-180
Con312,PRADO,30411-030
Con313,Alto Barroca,30460-000
Con314,Coracao Eucaristico,30535-460
Con315,SAO CRISTOVAO,31130-050
Con316,Sao Geraldo,31050-680
Con317,Madre Gertrudes,30512-720
Con318,Minaslandia P Maio,31812-030
Con319,Silveira,31140-540
Con320,Estoril,30494-170
Con321,Padre Eustaquio,30720-380
Con322,Estoril,30455-610
Con323,Lindeia Barreiro,30692-180
Con324,Gutierrez,30410-000
Con325,Buritis,30575-120
Con326,Jardim Vitoria,31975-272
Con327,Sao Francisco,31255-050
Con328,Nazare,31990-055
Con329,Funcionarios,30110-928
Con330,Padre Eustaquio,30720-420
Con331,Jardim Vitoria,31975-220
Con332,Cruzeiro,30310-160
Con333,Sao Cristovao,31110-460
Con334,Jardim Montanhes,30750-150
Con335,Carlos Prates,30710-020
Con336,Jardim America,30455-040
Con337,Uniao,31170-560
Con338,Sao Gabriel,31980-650
Con339,Itapoa,31710-570
Con340,Santa Cruz,31150-610
Con341,Castelo,30840-460
Con342,Renascenca,31130-560
Con343,Sagrada Familia,31030-360
Con344,Savassi,30130-138
Con345,Planalto,31730-570
Con346,Calafate,30411-295
Con347,Carmo,30310-370
Con348,Buritis,30493-180
Con349,SION,30315-380
Con350,Ouro Preto,31340-000
Con351,Centro,30190-901
Con352,Flavio Marques Lisboa Barreiro,30620-470
Con353,Engenho Nogueira,31310-260
Con354,Centro,30120-076
Con355,Paraiso,30270-190
Con356,Nova Suissa,30421-223
Con357,Casa Branca,31050-170
Con358,Belvedere,30320-730
Con359,Bonfim,31210-240
Con360,Dona Clara,31260-340
Con361,Nova Vista,31070-200
Con362,Serra,30220-380
Con363,Maria Helena,31655-510
Con364,Santa Efigenia,30240-420
Con365,Sagrada Familia,31030-010
Con366,Europa,31620-295
Con367,Padre Eustaquio,30730-500
Con368,Alto Caicaras,30775-070
Con369,Padre Eustaquio,30730-080
Con370,Salgado Filho,30550-000
Con371,Cidade Jardim,30380-174
Con372,Santa Lucia,30350-577
Con373,Ouro Preto,31310-240
Con374,Jardim Leblon,31540-500
Con375,Inconfidencia,30820-272
Con376,CASTANHEIRA II (VALE DO JATOBA),30670-020
Con377,Funcionarios,30130-007
Con378,Funcionarios,30130-918
Con379,Belvedere,30320-670
Con380,Serrano,30881-530
Con381,Alpes,30450-330
Con382,Camargos,30520-100
Con383,Betania,30580-490
Con384,Santa Maria,30525-190
Con385,Carlos Prates,30710-530
Con386,Pompeia,30285-010
Con387,Padre Eustaquio,30720-440
Con388,Jatoba Barreiro,30692-675
Con389,Serrano,30882-340
Con390,Prado,30411-177
Con391,Bandeirantes Pampulha,31340-470
Con392,Vila Paris,30380-660
Con393,Goiania,31950-090
Con394,Indaia,31270-020
Con395,Santo Antonio,30330-120
Con396,Carlos Prates,30710-580
Con397,Nova Suissa,30421-284
Con398,Jardim Montanhes,30750-000
Con399,Nova Cintra,30516-270
Con400,Carlos Prates,30710-260
Con401,California,30855-440
Con402,Distrito Industrial do JatobA Barre,30668-274
Con403,Esplanada,30280-090
Con404,Sagrada Familia,31035-460
Con405,Pongelupe Barreiro,30628-000
Con406,Cinquentenario,30570-000
Con407,Sao Francisco,31255-180
Con408,Coracao de Jesus,30380-190
Con409,Indaia,31270-020
Con410,Caicaras,30770-010
Con411,Dom Silverio,31985-480
Con412,Rio Branco,31530-574
Con413,Planalto,31720-160
Con414,Fernao Dias,31910-540
Con415,Lourdes,30170-012
Con416,Sagrada Familia,31035-400
Con417,Sagrada FamAlia,31030-220
Con418,Minaslandia P Maio,31812-160
Con419,Barro Preto,30190-003
Con420,Olhos D'Agua,30390-076
Con421,Centro,30160-041
Con422,Prado,30411-032
Con423,Santo Antonio,30350-213
Con424,Belvedere,30320-390
Con425,Savassi,30130-141
Con426,Sao Pedro,30330-050
Con427,Pilar,30390-012
Con428,Pompeia,30280-420
Con429,Sao Joao Batista Venda Nova,31515-252
Con430,Estoril,30494-270
Con431,Nova Suissa,30421-188
Con432,Vila Oeste,30532-140
Con433,Centro,30190-922
Con434,Luxemburgo,30380-410
Con435,Jaqueline,31785-110
Con436,Sagrada Familia,31030-490
Con437,Santa Amelia,31560-220
Con438,Barro Preto,30110-068
Con439,BAIRRO DAS MANSOES,30380-403
Con440,Funcionarios,30140-060
Con441,Tirol Barreiro,30662-090
Con442,Centro,30160-011
Con443,Santo Antonio,30350-050
Con444,Sao Jose,31275-190
Con445,Colegio Batista,31110-270
Con446,Jonas Veiga,30285-385
Con447,Jardim Filadelfia,30865-280
Con448,Sao Gabriel,31985-090
Con449,Santo Antonio,30350-230
Con450,Monsenhor Messias,30720-460
Con451,Barreiro,30640-110
Con452,Ermelinda,31250-290
Con453,Gutierrez,30441-127
Con454,Industrias I Barreiro,30610-000
Con455,Fernao Dias,31920-240
Con456,Cidade Nova,31170-070
Con457,Goiania,31960-300
Con458,Sao Joao Batista Venda Nova,31515-410
Con459,Lourdes,30180-150
Con460,Conjunto Celso Machado,30882-160
Con461,Sagrada Familia,31035-340
Con462,Jardim Atlantico,31550-000
Con463,Alto CaiAaras,30775-480
Con464,Caicara-Adelaide,30720-340
Con465,Serrano,30882-665
Con466,Vila Pinho Vale do Jatoba Barreiro,30670-050
Con467,Carlos Prates,30710-460
Con468,Dona Clara,31260-140
Con469,Coracao de Jesus,30380-190
Con470,Independencia Barreiro,30672-220
Con471,Sao Francisco,31255-190
Con472,Caicaras,30770-190
Con473,Santa Ines,31080-040
Con474,Jardim Leblon,31540-200
Con475,Serrano,30882-710
Con476,Diamante Barreiro,30627-065
Con477,Ceu Azul,31580-000
Con478,Jaragua,31270-370
Con479,Nazare,31990-000
Con480,Independencia Barreiro,30672-030
Con481,Betania,30514-460
Con482,Centro,30160-040
Con483,Carlos Prates,30710-662
Con484,Paulo VI,31995-270
Con485,Goiania,31960-460
Con486,Guarani,31840-170
Con487,Vila Paris,30380-752
Con488,Dom Silverio,31960-000
Con489,Castelo,31330-430
Con490,Cinquentenario,30570-000
Con491,Alto dos Pinheiros,30530-110
Con492,Araguaia,30620-410
Con493,Gutierrez,30441-152
Con494,Joao Pinheiro,30530-140
Con495,Santa Ines,31080-255
Con496,Sao Jose,31275-010
Con497,Sao Francisco,31255-170
Con498,Santa Monica,31530-270
Con499,Padre Eustaquio,30730-250
Con500,Serra,30220-090
Con501,Inconfidencia,30820-272
Con502,Caicaras,30770-480
Con503,Barreiro,30640-000
Con504,Sagrada Familia,31030-211
Con505,Buritis,30575-170
Con506,Funcionarios,30140-002
Con507,Nova Suissa,30421-096
Con508,Venda Nova,31510-405
Con509,Sao Jose,31275-020
Con510,Barreiro,30640-095
Con511,Nova Suissa,30421-005
Con512,Santa Branca,31565-120
Con513,Aeroporto,31270-650
Con514,Distrito Industrial do Jatoba Barre,30668-273
Con515,Piratininga Venda Nova,31573-550
Con516,Sao Francisco,31255-170
Con517,PEDRO II,30710-010
Con518,Estoril,30494-080
Con519,California,30855-450
Con520,Caicaras,30770-162
Con521,Padre Eustaquio,30720-450
Con522,Estoril,30494-080
Con523,Centro,30170-120
Con524,Sion,30310-600
Con525,Planalto,31730-500
Con526,Cidade Jardim,30380-080
Con527,Camargos,30520-300
Con528,Lourdes,30170-002
Con529,Centro,30180-114
Con530,Gloria,30870-100
Con531,Industrias I Barreiro,30610-050
Con532,Estoril,30455-610
Con533,Serra,30210-480
Con534,Etelvina Carneiro,31746-140
Con535,Milionarios Barreiro,30620-050
Con536,Sion,30310-300
Con537,TAQUARIL,30275-240
Con538,Centro,30180-100
Con539,Jardim dos Comerciarios Venda Nova,31630-660
Con540,SERRA DO CURRAL,30390-000
Con541,Savassi,30140-140
Con542,Funcionarios,30150-285
Con543,Joao Pinheiro,30530-140
Con544,Lourdes,30110-044
Con545,Maria Goretti,31930-540
Con546,Bom Jesus,31235-000
Con547,Jardim dos Comerciarios Venda Nova,31640-680
Con548,Floramar,31840-300
Con549,Santo Antonio,30350-060
Con550,Conjunto Lagoa,31365-050
Con551,Nova Suissa,30421-257
Con552,Palmares,31160-530
Con553,Barro Preto,30190-130
Con554,Anchieta,30310-430
Con555,Floramar,31742-096
Con556,Sao Cristovao,31110-492
Con557,Paraiso,30270-210
Con558,Vista do Sol,31990-590
Con559,Lagoinha Leblon Venda Nova,31575-460
Con560,Lourdes,30170-090
Con561,Havai,30575-000
Con562,Horto Florestal,31035-201
Con563,Jardim Vitoria,31970-643
Con564,NOVO SAO LUCAS,30240-510
Con565,Heliopolis,31741-480
Con566,Ouro Minas,31870-140
Con567,Buritis,30575-280
Con568,Vera Cruz,30285-520
Con569,Padre Eustaquio,30720-170
Con570,Palmeiras,30575-600
Con571,Alto dos Pinheiros,30530-080
Con572,Santo Andre,31210-590
Con573,Jardim Felicidade,31742-406
Con574,Tupi B,31844-180
Con575,Casa Branca,31050-260
Con576,California,30855-140
Con577,Lagoinha,31110-422
Con578,Dom Bosco,30850-650
Con579,Maria Goretti,31930-540
Con580,Aparecida,31235-012
Con581,Santo AntAnio,30330-180
Con582,Ceu Azul,31580-090
Con583,Betania,30590-280
Con584,Dona Clara,31260-260
Con585,DONA CLARA,31255-810
Con586,FLORESTA,31150-090
Con587,PEDRO II,30770-170
Con588,COQUEIROS,30880-452
Con589,Boa Vista,31060-440
Con590,Marajo,30570-160
Con591,Colegio Batista,31110-110
Con592,Santa Margarida Barreiro,30640-320
Con593,Flavio Marques Lisboa Barreiro,30624-000
Con594,Sao Bento,30350-530
Con595,Centro,30130-003
Con596,Inconfidencia,30820-363
Con597,Venda Nova,31615-310
Con598,Lourdes,30140-072
Con599,Gloria,30830-450
Con600,Lourdes,30170-001
Con601,Cruzeiro,30310-090
Con602,Serra,30220-260
Con603,Caicaras,31250-900
Con604,Liberdade,31270-320
Con605,Ouro Preto,31330-500
Con606,Conjunto California,30850-540
Con607,Fernao Dias,31170-545
Con608,Boa Viagem,30130-160
Con609,Palmeiras,30575-380
Con610,Uniao,31170-680
Con611,Joao Pinheiro,30530-160
Con612,Nova Gameleira,30510-170
Con613,Manacas,30840-700
Con614,Serra,30220-000
Con615,BONSUCESSO,30622-070
Con616,Jardim America,30421-452
Con617,Rio Branco,31530-550
Con618,Sao Francisco,31255-210
Con619,PEDRA BRANCA,31652-310
Con620,DISTRITO INDUSTRIAL (VALE DO JATOBA,30668-273
Con621,Colegio Batista,31170-800
Con622,Conjunto Ademar Maldonado Barreiro,30640-630
Con623,Centro,30180-005
Con624,Santa Lucia,30360-690
Con625,Cabana do Pai Tomas,30512-660
Con626,Uniao,31170-660
Con627,Minaslandia,31812-000
Con628,Vila Oeste,30532-000
Con629,Itatiaia,31360-700
Con630,Floresta,31110-160
Con631,Vale do Jatoba (Barreiro),30664-260
Con632,Bandeirantes,31340-505
Con633,Coracao Eucaristico,30535-460
Con634,Lourdes,30140-082
Con635,Salgado Filho,30550-210
Con636,Santa Rosa,31255-550
Con637,Estoril,30494-275
Con638,Buritis,30575-815
Con639,Carlos Prates,30710-020
Con640,Aparecida,31235-190
Con641,Nova Suissa,30421-265
Con642,Centro,30180-106
Con643,Sao Bernardo,31741-435
Con644,Santa Ines,31060-090
Con645,Sion,30320-080
Con646,Camargos,30520-450
Con647,Mantiqueira,31660-290
Con648,Lindeia Barreiro,30690-010
Con649,Castelo,30840-490
Con650,Sao Bento,30350-650
Con651,Sao Salvador,30881-292
Con652,Belvedere,30320-690
Con653,Barro Preto,30140-062
Con654,Lourdes,30170-001
Con655,Aparecida,31235-010
Con656,Cachoeirinha,31150-000
Con657,Lourdes,30180-120
Con658,Guarani,31840-110
Con659,Uniao,31170-660
Con660,Jaragua,31270-520
Con661,Heliopolis,31741-545
Con662,Carlos Prates,30710-470
Con663,Padre Eustaquio,30720-380
Con664,Havai,30555-200
Con665,TIROL,30662-750
Con666,Santa Tereza,31010-360
Con667,Joao Pinheiro,30530-170
Con668,Jardim America,30421-372
Con669,Piratininga Venda Nova,31573-370
Con670,Lourdes,30170-081
Con671,Buritis,30492-015
Con672,Ouro Preto,31320-330
Con673,Pompeia,30280-460
Con674,Minas Brasil,30730-390
Con675,Santa Monica,31530-270
Con676,Estoril,30494-080
Con677,Centro,30180-000
Con678,Salgado Filho,30550-060
Con679,Prado,30411-160
Con680,Concordia,31110-680
Con681,Barreiro,30640-020
Con682,Aparecida,31235-080
Con683,Estrela do Oriente,30580-040
Con684,Sion,30320-080
Con685,Lagoinha Leblon Venda Nova,31575-100
Con686,Sagrada Familia,31030-430
Con687,Caicaras,31230-090
Con688,Candelaria,31510-240
Con689,Ipiranga,31160-440
Con690,Castelo,31330-430
Con691,Sao Bento,30350-532
Con692,Carmo,30310-770
Con693,Santa Efigenia,30150-270
Con694,Nova Cachoeirinha,31250-360
Con695,Goiania,31950-280
Con696,Santa Branca,31565-100
Con697,Buritis,30575-857
Con698,Santa Efigenia,30150-281
Con699,Alipio de Melo,30830-570
Con700,Padre Eustaquio,30730-530
Con701,Belvedere,30320-690
Con702,Nova Suissa,30421-310
Con703,Coracao Eucaristico,30535-460
Con704,Jardim Montanhes,30750-010
Con705,Caicaras,31230-070
Con706,Nova Granada,30431-320
Con707,Cidade Nova,31170-220
Con708,Renascenca,31130-760
Con709,Pampulha,31365-450
Con710,Santa Tereza,31010-040
Con711,Primeiro de Maio,31810-350
Con712,Vila Oeste,30532-140
Con713,Castelo,31330-320
Con714,Buritis,30575-815
Con715,Goiania,31960-315
Con716,Sao Luiz,31270-740
Con717,Sao Francisco,31255-200
Con718,Nova Floresta,31140-310
Con719,Castelo,31330-240
Con720,Estoril,30494-310
Con721,Sao Luiz,31310-060
Con722,Itapoa,31710-000
Con723,Caicaras,30775-110
Con724,Guarani,31840-430
Con725,Estoril,30494-150
Con726,Rio Branco,31535-000
Con727,Lourdes,30140-061
Con728,Dona Clara,31260-230
Con729,Castelo,30840-370
Con730,Floramar,31840-030
Con731,Coracao de Jesus,30380-610
Con732,Serra,30240-000
Con733,Castelo,31330-180
Con734,Sao Pedro,30330-160
Con735,SANTO AGOSTINHO,30140-092
Con736,Sao Gabriel,31980-320
Con737,Lindeia Barreiro,30690-750
Con738,Betania,30580-260
Con739,Carlos Prates,30710-390
Con740,Lourdes,30180-160
Con741,Bandeirantes Pampulha,31365-390
Con742,Santa Efigenia,30140-040
Con743,Vila Cloris,31760-000
Con744,Cardoso Barreiro,30626-380
Con745,Anchieta,30310-490
Con746,Santa Branca,31565-370
Con747,Padre Eustaquio,30720-260
Con748,Santa Terezinha,31360-120
Con749,Centro,30170-000
Con750,Cachoeirinha,31130-770
Con751,Sao Gabriel,31985-080
Con752,Centro,30170-121
Con753,Serrano,30882-630
Con754,Santa Margarida Barreiro,30640-230
Con755,Buritis,30492-040
Con756,Colegio Batista,31110-010
Con757,Alipio de Melo,30830-670
Con758,BETANIA,30580-230
Con759,Serra,30240-010
Con760,Colegio Batista,31110-240
Con761,Sao Jose,31275-030
Con762,Sagrada Familia,31035-540
Con763,Minas Brasil,30730-230
Con764,Colegio Batista,31110-000
Con765,SANTO ANTONIO,30110-035
Con766,Dona Clara,31260-210
Con767,Centro,30190-000
Con768,Floresta,31015-350
Con769,Santa Ines,31080-255
Con770,Serra,30220-280
Con771,Lourdes,30180-101
Con772,Centro,30160-031
Con773,Aparecida,31235-160
Con774,Comiteco,30315-030
Con775,Gloria,30880-140
Con776,Castelo,31330-142
Con777,Vista do Sol,31990-520
Con778,Lourdes,30140-069
Con779,Belvedere,30320-660
Con780,Lourdes,30160-035
Con781,Padre Eustaquio,30720-450
Con782,Boa Vista,31060-460
Con783,Santa Lucia,30360-390
Con784,Pampulha,31270-330
Con785,Barro Preto,30190-003
Con786,CASTELO,31330-180
Con787,Santa Lucia,30360-230
Con788,Piratininga Venda Nova,31573-100
Con789,Maria Goretti,31930-492
Con790,Coracao Eucaristico,30535-620
Con791,Mantiqueira,31660-290
Con792,Cachoeirinha,31130-140
Con793,Centro,30111-060
Con794,Santa Branca,31565-380
Con795,Nova Cintra,30516-330
Con796,Santa Terezinha,31360-120
Con797,CONJUNTO PAULO VI,31995-440
Con798,Santa Lucia,30360-310
Con799,Carlos Prates,30710-280
Con800,Nova Suissa,30421-232
Con801,Conjunto Celso Machado,30882-250
Con802,Joao Pinheiro,30530-390
Con803,Paqueta,31330-470
Con804,Boa Vista,31070-320
Con805,Gloria,30870-100
Con806,Planalto,31720-300
Con807,Engenho Nogueira,31320-580
Con808,Sao Jose,31275-020
Con809,Santo Agostinho,30190-120
Con810,Coracao Eucaristico,30535-610
Con811,Vitoria,31970-745
Con812,Sion,30310-300
Con813,Jardim Vitoria,31970-570
Con814,Santa Efigenia,30150-224
Con815,Santo Agostinho,30190-120
Con816,Calafate,30411-325
Con817,Santo Antonio,30330-230
Con818,Estoril,30494-170
Con819,Liberdade,31270-300
Con820,Nazare,31990-055
Con821,Renascenca,31130-650
Con822,Sion,30320-010
Con823,Sao Jose,31275-020
Con824,Funcionarios,30130-151
Con825,Funcionarios,30140-080
Con826,Santo Andre,31210-580
Con827,Santo Antonio,30350-090
Con828,Dona Clara,31260-230
Con829,Jardim dos Comerciarios Venda Nova,31640-000
Con830,Nova Suissa,30421-012
Con831,Santa Monica,31520-420
Con832,Jardim America,30421-389
Con833,JARDIM ATLANTICO,31555-000
Con834,Barro Preto,30180-074
Con835,Carlos Prates,30710-010
Con836,Estoril,30494-080
Con837,Camargos,30525-480
Con838,Buritis,30575-817
Con839,Padre Eustaquio,30720-180
Con840,Jardim Sao Jose,30820-170
Con841,Betania,30590-120
Con842,Barreiro,30640-000
Con843,Granja de Freitas,30285-240
Con844,Caicaras,30775-520
Con845,Horto,31030-072
Con846,Nova Floresta,31140-260
Con847,Piratininga Venda Nova,31573-340
Con848,Floramar,31742-075
Con849,Savassi,30140-130
Con850,Engenho Nogueira,31320-000
Con851,Castelo,30840-480
Con852,Centro,30170-131
Con853,Centro,30190-030
Con854,Sao Bento,30350-400
Con855,Buritis,30575-740
Con856,Carlos Prates,30710-020
Con857,Lourdes,30180-111
Con858,Sao Pedro,30330-160
Con859,Centro,30170-110
Con860,Belvedere,30320-410
Con861,Sion,30315-500
Con862,Centro,30190-912
Con863,Sao Salvador,30881-460
Con864,Satelite,31748-025
Con865,Castelo,30840-372
Con866,Centro,30170-080
Con867,Sao Francisco,31255-210
Con868,Salgado Filho,30550-350
Con869,Calafate,30411-545
Con870,Milionarios,30620-110
Con871,Santa Amelia,31555-050
Con872,Buritis,30493-140
Con873,Prado,30410-600
Con874,Prado,30411-156
Con875,Jardim dos Comerciarios Venda Nova,31640-005
Con876,Manacas,30840-563
Con877,Padre Eustaquio,30720-350
Con878,Santo Agostinho,30140-094
Con879,Luxemburgo,30380-342
Con880,Santo Antonio,30350-220
Con881,SAGRADA FAMILIA,31030-330
Con882,Santa Cruz,31150-260
Con883,Lourdes,30180-160
Con884,Castelo,31330-290
Con885,Sao Francisco,31250-810
Con886,Estrela do Oriente,30580-300
Con887,Aparecida Setima Secao,31250-115
Con888,Indaia,31270-020
Con889,Centro,30180-100
Con890,Uniao,31170-460
Con891,Jardim Felicidade,31742-665
Con892,Lourdes,30180-101
Con893,Santo Agostinho,30180-121
Con894,Concordia,31110-600
Con895,Santa Cruz,31150-260
Con896,Tirol Barreiro,30662-220
Con897,Santa Cecilia Vale do Jatoba Barrei,30668-350
Con898,Santa Lucia,30350-614
Con899,Nova Suissa,30421-056
Con900,Cruzeiro,30310-080
Con901,MINASCAIXA,31615-260
Con902,Alipio de Melo,30830-550
Con903,Comiteco,30315-350
Con904,Jardim Guanabara,31742-273
Con905,Sagrada Familia,31035-470
Con906,Lourdes,30140-092
Con907,ITAPUA,30670-565
Con908,LOURDES,30140-074
Con909,Prado,30411-186
Con910,Santa Amelia,31560-110
Con911,Caicaras,30775-330
Con912,Carmo,30310-760
Con913,MANGUEIRAS,30666-472
Con914,ZONA RURAL,35498-000
Con915,ItapoA,31710-550
Con916,Concordia,31110-656
Con917,Frei Leopoldo,31746-065
Con918,Carlos Prates,30710-230
Con919,Savassi,30140-131
Con920,Floresta,30150-040
Con921,Estoril,30494-270
Con922,Buritis,30575-817
Con923,Luxemburgo,30380-400
Con924,Estoril,30494-085
Con925,Santa Efigenia,30240-390
Con926,Santo Agostinho,30180-165
Con927,VILA ADELAIDE,30770-370
Con928,Dom Bosco,30850-620
Con929,Piratininga Venda Nova,31573-030
Con930,Juliana,31744-678
Con931,Sagrada Familia,31030-211
Con932,FREI EUSTAQUIO,30830-280
Con933,Carmo,30310-730
Con934,Sao Jose,31275-050
Con935,Santa Lucia,30360-450
Con936,Sao Geraldo,31060-570
Con937,Cidade Jardim,30380-180
Con938,Barreiro,30640-150
Con939,Palmares,31155-660
Con940,Santa Amelia,31550-260
Con941,Sao Joao Batista Venda Nova,31515-310
Con942,Maria Virginia,31155-550
Con943,Santa Efigenia,30150-320
Con944,Sao Cristovao,31210-690
Con945,Barro Preto,30180-070
Con946,Centro,30170-120
Con947,Savassi,30130-174
Con948,Lourdes,30160-032
Con949,Sao Salvador,30881-440
Con950,Barreiro,30640-080
Con951,Sao Francisco,31255-170
Con952,Belvedere,30320-690
Con953,Cidade Nova,31170-070
Con954,Buritis,30493-010
Con955,Centro,30170-133
Con956,Belvedere,30320-540
Con957,Universitario,31255-460
Con958,Lourdes,30140-074
Con959,Lourdes,30140-069
Con960,Luxemburgo,30380-403
Con961,Goiania,31950-380
Con962,ALVARO CAMARGOS,30860-120
Con963,Serrano,30882-655
Con964,Dom Silverio,31985-203
Con965,Santo Antonio,30350-090
Con966,Copacabana,31550-500
Con967,Maria Virginia,31155-330
Con968,Estoril,30494-170
Con969,Lourdes,30180-150
Con970,Estoril,30494-085
Con971,Horto Florestal,31035-190
Con972,Cruzeiro,30130-009
Con973,Heliopolis,31741-500
Con974,Vila Oeste,30532-097
Con975,Parque Sao Pedro Venda Nova,31610-140
Con976,Padre Eustaquio,30730-430
Con977,SANTA EFIGENIA,30150-220
Con978,Tupi B,31844-130
Con979,Ouro Preto,31310-130
Con980,Vista Alegre,30518-020
Con981,Paqueta,31330-472
Con982,Centro,30111-020
Con983,Centro,30190-005
Con984,Buritis,30575-857
Con985,Sagrada Familia,31030-220
Con986,Funcionarios,30140-080
Con987,Centro,30180-100
Con988,Jardim Leblon,31540-480
Con989,Dom Bosco,30850-650
Con990,Padre Eustaquio,30720-402
Con991,Vila Paris,30380-752
Con992,Funcionarios,30150-311
Con993,Bandeirantes Pampulha,31340-470
Con994,Buritis,30575-275
Con995,Nova Granada,30431-320
Con996,Barreiro,30640-050
Con997,Sion,30315-510
Con998,Savassi,30130-167
Con999,Lourdes,30160-032
Con1000,Caicara-Adelaide,30720-530
Con1001,Sao Geraldo,31050-550
Con1002,Centro,30190-000
Con1003,Pindorama,30880-345
Con1004,Funcionarios,30110-028
Con1005,Gutierrez,30441-141
Con1006,Santa Efigenia,30150-240
Con1007,Nova Suissa,30421-125
Con1008,Belvedere,30320-380
Con1009,Sao Bento,30350-563
Con1010,Castelo,31330-290
Con1011,Uniao,31160-370
Con1012,Belvedere,30320-670
Con1013,Centro,30190-922
Con1014,Nova Floresta,31140-220
Con1015,Lourdes,30140-092
Con1016,Santa Efigenia,30260-260
Con1017,Serra,30220-290
Con1018,Barreiro,30640-000
Con1019,Funcionarios,30110-931
Con1020,Serra,30220-000
Con1021,Castelo,31330-100
Con1022,Vila Paris,30380-725
Con1023,Sao Marcos,31920-600
Con1024,Buritis,30575-839
Con1025,Lourdes,30140-092
Con1026,Indaia,31270-150
Con1027,Anchieta,30310-520
Con1028,Gameleira,30510-190
Con1029,Cidade Nova,31170-110
Con1030,Prado,30411-223
Con1031,Santo Agostinho,30170-020
Con1032,Vila Cloris,31744-151
Con1033,Ipiranga,31160-253
Con1034,Carlos Prates,30710-543
Con1035,Barro Preto,30190-134
Con1036,Ipiranga,31160-015
Con1037,Sion,30315-450
Con1038,Gutierrez,30441-039
Con1039,Cachoeirinha,31150-070
Con1040,Castelo,31330-070
Con1041,Santo Antonio,30330-270
Con1042,Camargos,30520-540
Con1043,Sion,30310-800
Con1044,Barro Preto,30190-915
Con1045,Santo Antonio,30110-043
Con1046,Sion,30310-300
Con1047,Ouro Preto,31330-520
Con1048,Prado,30411-177
Con1049,Santo Agostinho,30180-165
Con1050,Dona Clara,31260-250
Con1051,Europa,31620-010
Con1052,Bonfim,31210-242
Con1053,Ipiranga,31140-590
Con1054,Floresta,30150-100
Con1055,Lourdes,30180-153
Con1056,Prado,30411-247
Con1057,Funcionarios,30140-003
Con1058,Floramar,31742-107
Con1059,Padre Eustaquio,30720-430
Con1060,Ceu Azul,31545-150
Con1061,Belvedere,30320-650
Con1062,Buritis,30575-180
Con1063,Ipiranga,31160-250
Con1064,BARRO PRETO,30140-093
Con1065,Carlos Prates,30710-602
Con1066,Sao Joao Batista Venda Nova,31520-000
Con1067,Engenho Nogueira,31320-610
Con1068,Olaria Barreiro,30660-280
Con1069,Camargos,30520-390
Con1070,Cachoeirinha,31150-440
Con1071,Rio Branco,31535-200
Con1072,Floresta,30110-005
Con1073,TUPI B,31840-050
Con1074,Santa Rosa,31255-620
Con1075,Graca,31140-030
Con1076,FLAVIO DE OLIVEIRA,30626-540
Con1077,Candelaria,31535-620
Con1078,Goiania,31970-082
Con1079,Nova Suissa,30421-239
Con1080,Santa Terezinha,31365-203
Con1081,Santa Tereza,31010-360
Con1082,Sao Pedro,30330-160
Con1083,Santo Agostinho,30190-131
Con1084,Serra,30240-000
Con1085,Diamante Barreiro,30660-015
Con1086,Buritis,30575-855
Con1087,Tirol,30662-060
Con1088,Boa Vista,31060-427
Con1089,Padre Eustaquio,30720-370
Con1090,Cidade Nova,31170-110
Con1091,Buritis,30575-820
Con1092,Boa Vista,31060-250
Con1093,Estoril,30494-310
Con1094,Monsenhor Messias,30720-492
Con1095,Tirol Barreiro,30662-290
