instancia,rota,posicao,no
040clientes,0,0,192
040clientes,0,1,224
040clientes,0,2,173
040clientes,0,3,4
040clientes,0,4,13
040clientes,0,5,97
040clientes,0,6,96
040clientes,0,7,95
040clientes,0,8,94
040clientes,0,9,91
040clientes,0,10,90
040clientes,0,11,89
040clientes,0,12,88
040clientes,0,13,87
040clientes,0,14,86
040clientes,0,15,85
040clientes,0,16,84
040clientes,0,17,83
040clientes,0,18,82
040clientes,0,19,81
040clientes,0,20,80
040clientes,0,21,79
040clientes,0,22,78
040clientes,0,23,77
040clientes,0,24,76
040clientes,0,25,75
040clientes,0,26,74
040clientes,0,27,73
040clientes,0,28,72
040clientes,0,29,71
040clientes,0,30,70
040clientes,0,31,69
040clientes,0,32,68
040clientes,0,33,67
040clientes,0,34,66
040clientes,0,35,65
040clientes,0,36,64
040clientes,0,37,63
040clientes,0,38,62
040clientes,0,39,61
040clientes,0,40,60
040clientes,0,41,59
040clientes,0,42,58
040clientes,0,43,57
040clientes,0,44,56
040clientes,0,45,55
040clientes,0,46,54
040clientes,0,47,53
040clientes,0,48,47
040clientes,0,49,44
040clientes,0,50,43
040clientes,0,51,40
040clientes,0,52,38
040clientes,0,53,37
040clientes,0,54,36
040clientes,0,55,32
040clientes,0,56,26
040clientes,0,57,21
040clientes,0,58,22
040clientes,0,59,16
040clientes,0,60,165
040clientes,0,61,161
040clientes,0,62,156
040clientes,0,63,155
040clientes,0,64,152
040clientes,0,65,151
040clientes,0,66,149
040clientes,0,67,143
040clientes,0,68,141
040clientes,0,69,140
040clientes,0,70,137
040clientes,0,71,136
040clientes,0,72,134
040clientes,0,73,133
040clientes,0,74,125
040clientes,0,75,123
040clientes,0,76,122
040clientes,0,77,117
040clientes,0,78,114
040clientes,0,79,113
040clientes,0,80,112
040clientes,0,81,111
040clientes,0,82,110
040clientes,0,83,109
040clientes,0,84,108
040clientes,0,85,107
040clientes,0,86,106
040clientes,0,87,105
040clientes,0,88,104
040clientes,0,89,103
040clientes,0,90,102
040clientes,0,91,101
040clientes,0,92,100
040clientes,0,93,99
040clientes,0,94,98
040clientes,0,95,93
040clientes,0,96,12
040clientes,0,97,92
040clientes,0,98,187
040clientes,1,0,204
040clientes,1,1,178
040clientes,1,2,174
040clientes,1,3,228
040clientes,1,4,208
040clientes,1,5,221
040clientes,1,6,218
040clientes,1,7,229
040clientes,1,8,217
040clientes,1,9,225
040clientes,1,10,242
040clientes,1,11,197
040clientes,1,12,154
040clientes,1,13,8
040clientes,1,14,9
040clientes,1,15,10
040clientes,1,16,5
040clientes,1,17,164
040clientes,1,18,163
040clientes,1,19,162
040clientes,1,20,157
040clientes,1,21,150
040clientes,1,22,147
040clientes,1,23,146
040clientes,1,24,121
040clientes,1,25,118
040clientes,1,26,52
040clientes,1,27,50
040clientes,1,28,45
040clientes,1,29,39
040clientes,1,30,34
040clientes,1,31,31
040clientes,1,32,30
040clientes,1,33,29
040clientes,1,34,28
040clientes,1,35,181
040clientes,1,36,238
040clientes,1,37,230
040clientes,1,38,198
040clientes,1,39,167
040clientes,1,40,194
040clientes,1,41,190
040clientes,1,42,168
040clientes,1,43,195
040clientes,1,44,193
040clientes,1,45,171
040clientes,2,0,219
040clientes,2,1,180
040clientes,2,2,166
040clientes,2,3,222
040clientes,2,4,191
040clientes,2,5,170
040clientes,2,6,244
040clientes,2,7,169
040clientes,2,8,11
040clientes,2,9,6
040clientes,2,10,7
040clientes,2,11,148
040clientes,2,12,144
040clientes,2,13,124
040clientes,2,14,120
040clientes,2,15,119
040clientes,2,16,49
040clientes,2,17,42
040clientes,2,18,25
040clientes,2,19,20
040clientes,2,20,18
040clientes,2,21,17
040clientes,2,22,213
040clientes,2,23,207
040clientes,2,24,233
040clientes,2,25,220
040clientes,2,26,216
040clientes,2,27,205
040clientes,2,28,231
040clientes,2,29,227
040clientes,2,30,203
040clientes,2,31,172
040clientes,2,32,179
040clientes,2,33,175
040clientes,2,34,241
040clientes,2,35,234
040clientes,2,36,240
040clientes,2,37,196
040clientes,2,38,239
040clientes,2,39,211
040clientes,2,40,210
040clientes,2,41,236
040clientes,2,42,209
040clientes,2,43,199
040clientes,2,44,223
040clientes,2,45,201
040clientes,2,46,186
040clientes,2,47,182
040clientes,2,48,237
040clientes,2,49,139
040clientes,2,50,126
040clientes,2,51,116
040clientes,2,52,46
040clientes,2,53,41
040clientes,2,54,15
040clientes,2,55,35
040clientes,2,56,33
040clientes,2,57,27
040clientes,2,58,19
040clientes,2,59,3
040clientes,2,60,14
040clientes,2,61,2
040clientes,2,62,145
040clientes,2,63,127
040clientes,2,64,160
040clientes,2,65,206
040clientes,2,66,183
040clientes,2,67,176
040clientes,2,68,184
040clientes,2,69,130
040clientes,2,70,158
040clientes,2,71,138
040clientes,2,72,132
040clientes,2,73,131
040clientes,2,74,142
040clientes,2,75,129
040clientes,2,76,115
040clientes,2,77,24
040clientes,2,78,23
040clientes,2,79,159
040clientes,2,80,128
040clientes,2,81,51
040clientes,2,82,48
040clientes,2,83,1
040clientes,2,84,200
040clientes,2,85,188
040clientes,2,86,153
040clientes,2,87,135
040clientes,2,88,232
040clientes,2,89,185
040clientes,2,90,235
040clientes,2,91,214
040clientes,2,92,212
040clientes,2,93,215
040clientes,2,94,202
040clientes,2,95,243
040clientes,2,96,226
040clientes,2,97,245
040clientes,2,98,189
040clientes,2,99,177
