instancia,run,tempo_s,custo
040clientes,0,1.5386,581.1458
040clientes,0,16.5093,183.9079
040clientes,0,18.4919,178.9379
040clientes,0,19.5472,178.9379
040clientes,0,21.4506,178.9379
040clientes,0,23.5308,178.9379
040clientes,0,24.2691,178.9379
040clientes,0,25.5758,178.9379
040clientes,0,27.1647,178.9379
040clientes,0,29.968,178.9379
040clientes,0,31.3033,178.9379
040clientes,0,33.3278,178.9379
040clientes,0,35.356,178.9379
040clientes,0,50.6345,178.9379
040clientes,0,51.3945,178.9379
040clientes,0,53.0207,178.9379
040clientes,0,55.4247,178.9379
040clientes,0,57.3415,178.9379
040clientes,0,60.596,178.9379
040clientes,0,61.5575,178.9379
040clientes,0,63.5576,178.9379
040clientes,0,65.4284,178.9379
040clientes,0,67.6767,178.9379
040clientes,0,70.0625,178.9379
040clientes,1,2.1425,598.9791
040clientes,1,13.0637,183.2521
040clientes,1,15.2295,183.2521
040clientes,1,17.116,183.2316
040clientes,1,17.8281,183.2316
040clientes,1,19.1076,183.2316
040clientes,1,20.3023,183.2316
040clientes,1,21.3136,183.2316
040clientes,1,23.5732,178.4116
040clientes,1,24.4261,178.4116
040clientes,1,26.943,176.0294
040clientes,1,28.3362,176.0294
040clientes,1,30.054,176.0294
040clientes,1,32.2841,176.0294
040clientes,1,34.0477,176.0294
040clientes,1,35.0204,175.2826
040clientes,1,35.8075,175.2826
040clientes,1,37.1643,175.2826
040clientes,1,38.9899,175.2826
040clientes,1,40.0987,175.2826
040clientes,1,42.5034,175.2826
040clientes,1,44.9404,175.2826
040clientes,1,46.1926,175.2826
040clientes,1,47.5506,175.2826
040clientes,1,49.0919,175.2826
040clientes,1,51.3013,175.2826
040clientes,1,60.2434,175.2826
040clientes,1,61.3814,175.2826
040clientes,1,62.5285,175.2826
040clientes,1,63.8019,175.2826
040clientes,1,64.7562,175.2826
040clientes,1,65.671,175.2826
040clientes,1,67.2139,175.2826
040clientes,1,69.2983,175.2826
040clientes,1,71.5957,175.2826
040clientes,1,72.8009,175.2826
040clientes,1,74.2424,175.2826
040clientes,1,76.1894,175.2826
040clientes,1,76.9536,175.2826
040clientes,1,77.6755,175.2826
040clientes,1,79.7728,175.2826
040clientes,1,80.9666,175.2826
040clientes,1,83.7889,175.2826
040clientes,1,85.3542,175.2826
040clientes,1,87.1178,175.2826
040clientes,1,87.8964,175.2826
040clientes,1,89.3921,175.2826
040clientes,1,91.3394,175.2826
040clientes,1,92.0967,175.2826
040clientes,1,93.9133,175.2826
040clientes,1,95.7864,175.2826
040clientes,1,96.9781,175.2826
040clientes,1,98.6933,175.2826
040clientes,1,100.563,175.2826
040clientes,1,101.9651,175.2826
040clientes,1,104.0671,175.2826
040clientes,1,106.0278,175.2826
040clientes,1,108.5016,175.2826
040clientes,1,110.5208,175.2826
040clientes,1,112.4162,175.2826
040clientes,1,113.8295,175.2826
040clientes,1,115.1468,175.2826
040clientes,1,115.8484,175.2826
040clientes,1,116.9901,175.2826
040clientes,1,118.4858,175.2826
040clientes,1,119.0947,175.2826
040clientes,1,120.3547,175.2826
040clientes,2,4.1951,548.8084
040clientes,2,12.2672,180.5242
040clientes,2,14.1948,180.5242
040clientes,2,15.6001,180.5242
040clientes,2,18.1324,180.5242
040clientes,2,19.5735,180.5242
040clientes,2,21.2846,180.0956
040clientes,2,23.2807,180.0956
040clientes,2,25.9669,180.0956
040clientes,2,27.1622,180.0956
040clientes,2,28.3245,180.0956
040clientes,2,30.9026,180.0956
040clientes,2,31.6441,180.0956
040clientes,2,32.3976,180.0956
040clientes,2,34.2255,180.0956
040clientes,2,35.7556,180.0956
040clientes,2,38.5346,180.0956
040clientes,2,46.7083,180.0956
040clientes,2,51.3417,180.0956
040clientes,2,57.5948,180.0956
040clientes,2,59.9667,180.0956
040clientes,2,62.086,180.0956
040clientes,2,64.0528,180.0956
040clientes,2,65.2739,180.0956
040clientes,2,68.0094,180.0956
040clientes,2,69.8993,180.0956
040clientes,2,82.0035,180.0956
040clientes,2,85.2164,180.0956
040clientes,2,87.7926,180.0956
040clientes,2,89.6503,180.0956
040clientes,2,90.8692,180.0956
040clientes,2,92.5554,180.0956
040clientes,2,93.4161,180.0956
040clientes,2,96.0455,180.0956
040clientes,2,99.8835,180.0956
040clientes,2,101.3032,180.0956
040clientes,2,103.8959,180.0956
040clientes,2,105.9344,180.0956
040clientes,2,107.2537,180.0956
040clientes,2,109.7207,180.0956
040clientes,2,113.9397,180.0956
