instancia,rota,posicao,no
080clientes,3,26,11
080clientes,3,27,148
080clientes,3,28,144
080clientes,3,29,124
080clientes,3,30,120
080clientes,3,31,119
080clientes,3,32,49
080clientes,3,33,42
080clientes,3,34,25
080clientes,3,35,20
080clientes,3,36,18
080clientes,3,37,17
080clientes,3,38,295
080clientes,3,39,268
080clientes,3,40,180
080clientes,3,41,322
080clientes,3,42,293
080clientes,3,43,287
080clientes,3,44,261
080clientes,3,45,310
080clientes,3,46,265
080clientes,3,47,175
080clientes,3,48,319
080clientes,3,49,176
080clientes,3,50,257
080clientes,3,51,249
080clientes,3,52,194
080clientes,3,53,312
080clientes,3,54,252
080clientes,3,55,218
080clientes,3,56,195
080clientes,3,57,282
080clientes,3,58,269
080clientes,3,59,250
080clientes,3,60,246
080clientes,3,61,187
080clientes,3,62,273
080clientes,3,63,189
080clientes,3,64,262
080clientes,3,65,297
080clientes,3,66,209
080clientes,3,67,238
080clientes,3,68,214
080clientes,3,69,207
080clientes,3,70,139
080clientes,3,71,126
080clientes,3,72,46
080clientes,3,73,41
080clientes,3,74,15
080clientes,3,75,116
080clientes,3,76,239
080clientes,3,77,219
080clientes,3,78,193
080clientes,3,79,173
080clientes,3,80,192
080clientes,3,81,153
080clientes,3,82,135
080clientes,3,83,247
080clientes,3,84,212
080clientes,3,85,196
080clientes,3,86,272
080clientes,3,87,169
080clientes,3,88,231
080clientes,3,89,226
080clientes,3,90,241
080clientes,3,91,203
080clientes,3,92,184
080clientes,3,93,316
080clientes,3,94,201
080clientes,3,95,186
080clientes,3,96,171
080clientes,3,97,228
