instancia,rota,posicao,no
cenario2_semana,2,8,370
cenario2_semana,2,9,367
cenario2_semana,2,10,366
cenario2_semana,2,11,341
cenario2_semana,2,12,338
cenario2_semana,2,13,272
cenario2_semana,2,14,270
cenario2_semana,2,15,265
cenario2_semana,2,16,259
cenario2_semana,2,17,254
cenario2_semana,2,18,251
cenario2_semana,2,19,250
cenario2_semana,2,20,249
cenario2_semana,2,21,248
cenario2_semana,2,22,230
cenario2_semana,2,23,229
cenario2_semana,2,24,228
cenario2_semana,2,25,225
cenario2_semana,2,26,220
cenario2_semana,2,27,210
cenario2_semana,2,28,209
cenario2_semana,2,29,208
cenario2_semana,2,30,206
cenario2_semana,2,31,203
cenario2_semana,2,32,201
cenario2_semana,2,33,200
cenario2_semana,2,34,194
cenario2_semana,2,35,186
cenario2_semana,2,36,183
cenario2_semana,2,37,181
cenario2_semana,2,38,179
cenario2_semana,2,39,174
cenario2_semana,2,40,160
cenario2_semana,2,41,159
cenario2_semana,2,42,158
cenario2_semana,2,43,152
cenario2_semana,2,44,140
cenario2_semana,2,45,125
cenario2_semana,2,46,124
cenario2_semana,2,47,122
cenario2_semana,2,48,117
cenario2_semana,2,49,98
cenario2_semana,2,50,85
cenario2_semana,2,51,82
cenario2_semana,2,52,80
cenario2_semana,2,53,69
cenario2_semana,2,54,67
cenario2_semana,2,55,62
cenario2_semana,2,56,60
cenario2_semana,2,57,59
cenario2_semana,2,58,40
cenario2_semana,2,59,39
cenario2_semana,2,60,34
cenario2_semana,2,61,32
cenario2_semana,2,62,21
cenario2_semana,2,63,20
cenario2_semana,2,64,424
cenario2_semana,2,65,350
cenario2_semana,2,66,105
cenario2_semana,2,67,53
cenario2_semana,2,68,425
cenario2_semana,2,69,408
cenario2_semana,2,70,405
cenario2_semana,2,71,404
cenario2_semana,2,72,396
cenario2_semana,2,73,378
cenario2_semana,2,74,362
cenario2_semana,2,75,358
cenario2_semana,2,76,352
cenario2_semana,2,77,351
cenario2_semana,2,78,349
cenario2_semana,2,79,335
cenario2_semana,2,80,244
cenario2_semana,2,81,243
cenario2_semana,2,82,218
cenario2_semana,2,83,214
cenario2_semana,2,84,211
cenario2_semana,2,85,193
cenario2_semana,2,86,192
cenario2_semana,2,87,180
cenario2_semana,2,88,178
cenario2_semana,2,89,155
cenario2_semana,2,90,151
cenario2_semana,2,91,123
cenario2_semana,2,92,119
cenario2_semana,2,93,115
cenario2_semana,2,94,114
cenario2_semana,2,95,110
cenario2_semana,2,96,109
cenario2_semana,2,97,108
cenario2_semana,2,98,107
cenario2_semana,2,99,106
cenario2_semana,3,0,154
cenario2_semana,3,1,145
cenario2_semana,3,2,139
cenario2_semana,3,3,137
cenario2_semana,3,4,133
cenario2_semana,3,5,130
cenario2_semana,3,6,127
cenario2_semana,3,7,126
cenario2_semana,3,8,118
cenario2_semana,3,9,71
cenario2_semana,3,10,70
cenario2_semana,3,11,66
cenario2_semana,3,12,64
cenario2_semana,3,13,48
cenario2_semana,3,14,29
cenario2_semana,3,15,368
cenario2_semana,3,16,153
cenario2_semana,3,17,147
cenario2_semana,3,18,364
cenario2_semana,3,19,344
cenario2_semana,3,20,340
cenario2_semana,3,21,339
cenario2_semana,3,22,269
cenario2_semana,3,23,262
cenario2_semana,3,24,245
cenario2_semana,3,25,240
cenario2_semana,3,26,238
cenario2_semana,3,27,237
cenario2_semana,3,28,231
cenario2_semana,3,29,227
cenario2_semana,3,30,226
cenario2_semana,3,31,198
cenario2_semana,3,32,191
cenario2_semana,3,33,189
cenario2_semana,3,34,168
cenario2_semana,3,35,165
cenario2_semana,3,36,28
cenario2_semana,3,37,19
cenario2_semana,4,0,16
cenario2_semana,4,1,15
cenario2_semana,4,2,418
cenario2_semana,4,3,417
cenario2_semana,4,4,416
cenario2_semana,4,5,415
cenario2_semana,4,6,403
cenario2_semana,4,7,402
cenario2_semana,4,8,399
cenario2_semana,4,9,50
cenario2_semana,4,10,104
cenario2_semana,4,11,97
cenario2_semana,4,12,88
cenario2_semana,4,13,87
cenario2_semana,4,14,86
cenario2_semana,4,15,10
cenario2_semana,4,16,3
cenario2_semana,4,17,5
cenario2_semana,4,18,6
cenario2_semana,4,19,423
cenario2_semana,4,20,422
cenario2_semana,4,21,420
cenario2_semana,4,22,413
cenario2_semana,4,23,411
cenario2_semana,4,24,410
cenario2_semana,4,25,409
cenario2_semana,4,26,407
cenario2_semana,4,27,406
cenario2_semana,4,28,401
cenario2_semana,4,29,390
cenario2_semana,4,30,389
cenario2_semana,4,31,388
cenario2_semana,4,32,386
cenario2_semana,4,33,385
cenario2_semana,4,34,381
cenario2_semana,4,35,376
cenario2_semana,4,36,375
cenario2_semana,4,37,372
cenario2_semana,4,38,371
cenario2_semana,4,39,369
cenario2_semana,4,40,363
cenario2_semana,4,41,361
cenario2_semana,4,42,360
cenario2_semana,4,43,357
cenario2_semana,4,44,356
cenario2_semana,4,45,354
cenario2_semana,4,46,353
cenario2_semana,4,47,345
cenario2_semana,4,48,343
cenario2_semana,4,49,342
cenario2_semana,4,50,337
cenario2_semana,4,51,334
cenario2_semana,4,52,333
cenario2_semana,4,53,332
cenario2_semana,4,54,331
cenario2_semana,4,55,330
cenario2_semana,4,56,329
cenario2_semana,4,57,328
cenario2_semana,4,58,327
cenario2_semana,4,59,326
cenario2_semana,4,60,325
cenario2_semana,4,61,324
cenario2_semana,4,62,323
cenario2_semana,4,63,322
cenario2_semana,4,64,321
cenario2_semana,4,65,320
cenario2_semana,4,66,319
cenario2_semana,4,67,318
cenario2_semana,4,68,317
cenario2_semana,4,69,316
cenario2_semana,4,70,315
cenario2_semana,4,71,314
cenario2_semana,4,72,313
cenario2_semana,4,73,312
cenario2_semana,4,74,311
cenario2_semana,4,75,310
cenario2_semana,4,76,309
cenario2_semana,4,77,308
cenario2_semana,4,78,307
cenario2_semana,4,79,306
cenario2_semana,4,80,305
cenario2_semana,4,81,304
cenario2_semana,4,82,303
cenario2_semana,4,83,302
cenario2_semana,4,84,301
cenario2_semana,4,85,300
cenario2_semana,4,86,299
cenario2_semana,4,87,298
cenario2_semana,4,88,297
cenario2_semana,4,89,296
cenario2_semana,4,90,295
cenario2_semana,4,91,294
cenario2_semana,4,92,293
cenario2_semana,4,93,292
cenario2_semana,4,94,291
cenario2_semana,4,95,2
